City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
172,Wajima,37.4,136.9,32.0,80,40,3.44,JP,2021-01-11 00:39:44
173,Howard Springs,-12.497,131.047,88.0,74,20,1.14,AU,2021-01-11 00:39:45
174,Neuquen,-38.9516,-68.0591,75.2,35,0,8.05,AR,2021-01-11 00:39:45
175,Firovo,57.4814,33.7021,0.95,94,48,0.29,RU,2021-01-11 00:39:45
176,Klaksvik,62.2266,-6.589,30.2,69,75,17.27,FO,2021-01-11 00:39:45
177,Pisco,-13.7,-76.2167,71.6,83,0,20.71,PE,2021-01-11 00:39:46
178,Urumqi,43.801,87.6005,-7.6,84,7,2.24,CN,2021-01-11 00:39:46
179,Kahului,20.8947,-156.47,82.4,54,40,23.02,US,2021-01-11 00:39:46
180,Kalianget,-7.05,113.9333,82.53,74,100,2.1,ID,2021-01-11 00:39:47
181,Ust-Maya,60.4167,134.5333,-42.18,80,100,1.54,RU,2021-01-11 00:39:47
182,Zharkent,44.1628,80.0,13.55,68,0,1.48,KZ,2021-01-11 00:39:47
183,Lavrentiya,65.5833,-171.0,-14.33,83,100,12.41,RU,2021-01-11 00:39:47
184,Limbang,4.75,115.0,78.8,89,75,8.05,MY,2021-01-11 00:39:47
185,Tasiilaq,65.6145,-37.6368,21.2,49,90,2.3,GL,2021-01-11 00:39:48
186,Castro,-24.7911,-50.0119,66.29,97,100,7.81,BR,2021-01-11 00:39:48
187,Kamiiso,41.8167,140.65,17.6,86,40,4.61,JP,2021-01-11 00:39:48
188,Altamira,-3.2033,-52.2064,73.31,94,100,2.57,BR,2021-01-11 00:39:48
189,Banda Aceh,5.5577,95.3222,78.51,83,100,9.69,ID,2021-01-11 00:39:48
190,Belyy Yar,53.6039,91.3903,17.6,57,0,11.18,RU,2021-01-11 00:39:49
191,Mandalgovi,45.7625,106.2708,0.34,80,100,13.78,MN,2021-01-11 00:39:49
192,Provideniya,64.3833,-173.3,-4.0,71,0,4.47,RU,2021-01-11 00:39:49
193,Masuguru,-11.3667,38.4167,70.59,96,93,1.59,TZ,2021-01-11 00:39:49
194,Douglas,41.3,-96.167,37.4,70,90,6.91,US,2021-01-11 00:35:16
195,Avarua,-21.2078,-159.775,86.0,66,100,12.66,CK,2021-01-11 00:39:50
196,Lakes Entrance,-37.8811,147.981,97.0,28,0,3.0,AU,2021-01-11 00:39:50
197,Abu Samrah,35.3029,37.1841,47.01,53,0,1.66,SY,2021-01-11 00:39:50
198,Yellowknife,62.456,-114.3525,5.0,92,75,8.05,CA,2021-01-11 00:39:50
199,Maloy,61.9353,5.1136,30.99,93,90,4.61,NO,2021-01-11 00:38:32
200,Ascope,-7.7144,-79.1078,72.12,72,16,4.52,PE,2021-01-11 00:39:51
201,Xai-Xai,-25.0519,33.6442,74.28,82,2,7.14,MZ,2021-01-11 00:39:51
202,Hami,42.8,93.45,10.81,84,1,0.56,CN,2021-01-11 00:39:51
203,Ambilobe,-13.2,49.05,74.61,91,73,1.03,MG,2021-01-11 00:39:51
204,Alofi,-19.0595,-169.9187,86.0,66,75,12.66,NU,2021-01-11 00:39:52
205,San Patricio,28.017,-97.5169,42.8,87,90,23.02,US,2021-01-11 00:39:52
206,Vesyegonsk,58.664,37.2604,1.2,94,88,3.47,RU,2021-01-11 00:39:52
207,Vostok,46.4856,135.8833,-7.1,87,100,5.61,RU,2021-01-11 00:39:52
208,Mar Del Plata,-38.0023,-57.5575,71.01,88,90,16.11,AR,2021-01-11 00:39:52
209,San Nicolas,18.1725,120.5953,69.8,78,20,2.3,PH,2021-01-11 00:39:53
210,Ubajara,-3.8544,-40.9211,66.9,93,66,6.67,BR,2021-01-11 00:39:53
211,Katangli,51.7102,143.2326,-8.39,84,83,12.15,RU,2021-01-11 00:39:53
212,Senno,59.5336,33.9167,0.41,93,17,3.2,RU,2021-01-11 00:39:53
213,Aksha,50.2814,113.2867,-0.33,82,98,4.29,RU,2021-01-11 00:39:53
214,San Policarpo,12.1791,125.5072,79.93,84,99,18.25,PH,2021-01-11 00:39:54
215,Carnarvon,-24.8667,113.6333,78.8,69,0,19.57,AU,2021-01-11 00:39:54
216,Naron,43.5167,-8.1528,48.0,65,0,6.91,ES,2021-01-11 00:39:54
217,Natori,38.1691,140.8823,32.0,69,20,3.44,JP,2021-01-11 00:39:54
218,Weston,26.1004,-80.3998,64.99,55,1,5.75,US,2021-01-11 00:37:39
219,Alice Springs,-23.7,133.8833,87.8,35,0,4.61,AU,2021-01-11 00:39:55
220,Mount Gambier,-37.8333,140.7667,95.0,15,100,19.57,AU,2021-01-11 00:39:56
221,Hervey Bay,-25.2986,152.8535,77.0,79,21,8.99,AU,2021-01-11 00:39:56
222,Odawara,35.2556,139.1597,37.99,62,100,1.99,JP,2021-01-11 00:39:57
223,Richards Bay,-28.783,32.0377,72.07,92,96,8.21,ZA,2021-01-11 00:39:57
224,Nouadhibou,20.931,-17.0347,62.6,72,24,19.57,MR,2021-01-11 00:39:57
225,Lincoln,40.8,-96.667,35.6,69,90,3.44,US,2021-01-11 00:39:58
226,Georgetown,5.4112,100.3354,77.0,78,20,2.3,MY,2021-01-11 00:39:58
227,Malakal,9.5334,31.6605,71.47,28,0,6.42,SS,2021-01-11 00:39:58
228,Yulara,-25.2406,130.9889,91.4,21,77,11.5,AU,2021-01-11 00:39:58
229,Christiana,-27.914,25.1611,74.8,59,91,16.84,ZA,2021-01-11 00:39:58
230,Salalah,17.0151,54.0924,68.0,28,0,12.66,OM,2021-01-11 00:39:58
231,Dudinka,69.4058,86.1778,-7.6,91,100,11.12,RU,2021-01-11 00:39:59
232,Acarau,-2.8856,-40.12,78.69,78,19,13.82,BR,2021-01-11 00:39:59
233,Gisenyi,-1.7028,29.2564,64.4,82,90,6.91,RW,2021-01-11 00:39:59
234,Kerman,30.2832,57.0788,15.8,35,0,4.61,IR,2021-01-11 00:39:59
235,Pacasmayo,-7.4006,-79.5714,71.15,77,47,13.91,PE,2021-01-11 00:39:59
236,Shillong,25.5689,91.8831,57.2,88,75,3.51,IN,2021-01-11 00:40:00
237,Vestmannaeyjar,63.4427,-20.2734,29.17,83,0,5.14,IS,2021-01-11 00:40:00
238,Sioux Lookout,50.1001,-91.917,24.8,93,90,12.66,CA,2021-01-11 00:40:00
239,Constitucion,-35.3333,-72.4167,57.99,92,100,4.9,CL,2021-01-11 00:40:01
240,Lensk,60.7253,114.9278,-18.92,85,98,3.6,RU,2021-01-11 00:40:01
241,Ribeira Grande,38.5167,-28.7,62.6,90,100,10.04,PT,2021-01-11 00:40:02
242,Poya,-21.35,165.15,85.98,70,100,3.49,NC,2021-01-11 00:40:03
243,San Pedro,14.35,121.0167,80.01,73,40,1.14,PH,2021-01-11 00:40:03
244,Adrar,20.5022,-10.0711,55.2,38,100,14.43,MR,2021-01-11 00:40:03
245,Zhangye,38.9342,100.4517,7.7,68,0,6.8,CN,2021-01-11 00:40:03
246,Darhan,49.4867,105.9228,-5.66,84,100,7.14,MN,2021-01-11 00:40:03
247,Mitu,1.1983,-70.1733,72.21,95,100,1.19,CO,2021-01-11 00:40:04
248,Luderitz,-26.6481,15.1594,66.58,69,5,23.58,NA,2021-01-11 00:40:04
249,Kavaratti,10.5669,72.642,82.08,73,59,5.08,IN,2021-01-11 00:40:04
250,Mandali,33.7499,45.5541,51.35,43,0,7.87,IQ,2021-01-11 00:40:04
251,Nioki,-2.7167,17.6833,71.29,94,100,1.97,CD,2021-01-11 00:40:04
252,Erzurum,40.0,41.5,28.4,93,75,5.75,TR,2021-01-11 00:40:05
253,Road Town,18.4167,-64.6167,79.0,78,20,10.36,VG,2021-01-11 00:40:05
254,Kolondieba,11.0882,-6.8926,74.82,20,0,1.86,ML,2021-01-11 00:40:06
255,Banjar,-8.19,114.9675,82.4,89,20,1.14,ID,2021-01-11 00:40:06
256,Sidney,-33.8679,151.2073,80.01,47,20,9.22,AU,2021-01-11 00:39:02
