City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
196,Cabo San Lucas,MX,22.8909,-109.9124,70.0,52,1,9.22,clear sky
197,Vostok,RU,46.4856,135.8833,6.35,92,2,1.41,clear sky
198,Krapivinskiy,RU,54.9992,86.8133,-34.6,67,0,8.95,clear sky
199,Atar,MR,20.5169,-13.0499,67.53,19,96,7.25,overcast clouds
200,Comodoro Rivadavia,AR,-45.8667,-67.5,84.2,16,0,20.71,clear sky
201,Belomorsk,RU,64.5232,34.7668,34.52,98,100,7.11,light rain
202,La Ronge,CA,55.1001,-105.2842,-20.2,76,24,1.14,few clouds
203,Aklavik,CA,68.2191,-135.0107,-14.8,76,90,4.61,light snow
204,Hithadhoo,MV,-0.6,73.0833,81.7,72,100,4.99,overcast clouds
205,Kodiak,US,57.79,-152.4072,39.2,41,1,19.57,clear sky
206,Markova,UA,48.6758,24.4138,34.41,89,100,2.95,overcast clouds
207,Hami,CN,42.8,93.45,16.81,84,21,7.67,few clouds
208,Praia,CV,14.9215,-23.5087,69.8,83,0,17.27,clear sky
209,Half Moon Bay,US,37.4636,-122.4286,48.99,93,75,1.28,moderate rain
210,Honiara,SB,-9.4333,159.95,85.17,62,100,6.38,overcast clouds
211,Nantucket,US,41.2835,-70.0995,28.99,43,1,20.71,clear sky
212,Castro,BR,-24.7911,-50.0119,63.57,90,100,3.38,moderate rain
213,Saint-Pierre,RE,-21.3393,55.4781,78.8,73,75,4.61,moderate rain
214,Thompson,CA,55.7435,-97.8558,-9.4,70,90,11.5,snow
215,Tecpan,GT,14.7623,-90.9947,77.0,50,40,6.91,scattered clouds
216,Bollnas,SE,61.3482,16.3946,16.5,96,100,4.18,overcast clouds
217,Nome,US,64.5011,-165.4064,15.8,86,90,4.61,mist
218,Waipawa,NZ,-41.4122,175.5153,72.0,56,0,21.85,clear sky
219,Padang,ID,-0.9492,100.3543,73.4,88,40,3.44,scattered clouds
220,Talakan,RU,50.3167,130.3667,-15.88,82,58,2.33,broken clouds
221,Togur,RU,58.3631,82.8265,-51.07,76,59,3.49,broken clouds
222,Erenhot,CN,43.6475,111.9767,19.6,96,100,16.17,light snow
223,Ust-Kut,RU,56.7938,105.7672,-11.67,86,100,1.19,overcast clouds
224,Kirakira,SB,-10.4544,161.9205,84.49,69,100,9.1,overcast clouds
225,Ballina,AU,-28.8667,153.5667,78.8,73,75,3.44,broken clouds
226,Iracoubo,GF,5.4802,-53.2011,77.09,78,59,10.13,broken clouds
227,Plavsk,RU,53.7094,37.2919,33.93,90,100,16.04,light snow
228,Camacha,PT,33.0833,-16.3333,60.8,88,40,5.75,scattered clouds
229,Namibe,AO,-15.1961,12.1522,74.79,76,96,4.27,overcast clouds
230,Nanortalik,GL,60.1432,-45.2371,21.16,87,0,12.73,clear sky
231,Flinders,AU,-34.5833,150.8552,84.0,72,69,1.99,light rain
232,Yulara,AU,-25.2406,130.9889,84.2,58,57,14.97,broken clouds
233,Sherlovaya Gora,RU,50.5667,116.25,-1.7,94,100,9.73,overcast clouds
234,Ambon,ID,-3.6954,128.1814,82.4,74,40,12.66,scattered clouds
235,Vila Franca Do Campo,PT,37.7167,-25.4333,64.0,94,75,20.71,light intensity drizzle
236,Sambava,MG,-14.2667,50.1667,75.04,88,24,4.79,few clouds
237,Vilyuysk,RU,63.7553,121.6247,-49.97,76,67,2.73,broken clouds
238,Alofi,NU,-19.0595,-169.9187,84.2,74,75,5.75,light rain
239,Oranjemund,NA,-28.55,16.4333,61.61,86,0,11.72,clear sky
240,Victor Harbor,AU,-35.5667,138.6167,75.0,66,91,9.08,overcast clouds
241,Jaisalmer,IN,26.9147,70.9181,50.85,39,0,7.63,clear sky
242,Hay River,CA,60.8156,-115.7999,-18.4,69,21,3.44,few clouds
243,Klaksvik,FO,62.2266,-6.589,33.8,86,20,23.02,light snow
244,Sao Miguel,BR,-5.4667,-35.3667,77.0,88,75,9.22,broken clouds
245,Los Llanos De Aridane,ES,28.6585,-17.9182,64.4,77,20,5.75,few clouds
246,Gamba,GA,-2.65,10.0,77.02,90,80,5.28,moderate rain
247,Muros,ES,42.7762,-9.0603,55.99,94,100,10.0,moderate rain
248,Gorodishche,RU,48.8045,44.4744,33.8,93,75,8.95,broken clouds
249,Hilo,US,19.7297,-155.09,78.8,65,40,6.91,light rain
250,Okhotsk,RU,59.3833,143.3,-23.57,77,32,17.6,scattered clouds
251,Bemidji,US,47.4736,-94.8803,1.4,66,40,4.61,scattered clouds
252,Seymchan,RU,62.8833,152.4333,-30.24,81,100,1.01,overcast clouds
253,Lashio,MM,22.9333,97.75,48.43,97,0,1.12,clear sky
254,Melendugno,IT,40.2747,18.3368,51.8,93,0,12.66,clear sky
255,Qiongshan,CN,20.0058,110.3542,59.0,100,40,2.24,mist
256,Canchungo,GW,12.0672,-16.0333,71.6,73,0,2.3,clear sky
257,Chokurdakh,RU,70.6333,147.9167,-31.5,82,100,12.12,overcast clouds
258,Balfour,ZA,-26.6633,28.5902,61.0,83,100,10.0,light rain
259,Sira,IN,13.7453,76.9092,64.45,68,0,4.41,clear sky
260,Viedma,AR,-40.8135,-62.9967,89.31,24,1,23.91,clear sky
261,Nanzhang,CN,31.7765,111.8386,42.17,82,100,7.43,overcast clouds
262,Vitim,RU,59.4511,112.5578,-28.91,82,23,3.24,few clouds
263,Tessalit,ML,20.1986,1.0114,63.46,21,15,11.59,few clouds
264,Begowal,IN,31.6167,75.5167,45.86,78,0,2.73,clear sky
265,Huron,US,41.1501,-82.5499,27.0,80,95,5.01,overcast clouds
266,Vigo,ES,42.2328,-8.7226,55.0,100,90,11.5,fog
267,Shingu,JP,33.7333,135.9833,46.4,81,75,5.75,broken clouds
268,Dunedin,NZ,-45.8742,170.5036,66.99,60,84,7.0,broken clouds
269,Katsuura,JP,35.1333,140.3,46.99,81,20,16.11,few clouds
270,Hobyo,SO,5.3505,48.5268,77.31,65,91,21.07,overcast clouds
271,San Cristobal,VE,7.7669,-72.225,80.6,69,40,4.61,scattered clouds
272,Vuktyl,RU,63.8567,57.3094,-4.56,92,100,9.64,light snow
273,Den Helder,NL,52.9599,4.7593,33.01,86,90,3.44,overcast clouds
274,Makakilo City,US,21.3469,-158.0858,82.4,61,1,9.22,light rain
275,East London,ZA,-33.0153,27.9116,68.31,66,94,10.67,overcast clouds
276,Lavrentiya,RU,65.5833,-171.0,3.24,91,100,1.9,overcast clouds
277,Ixtapa,MX,20.7,-105.2,73.4,78,20,12.66,few clouds
278,Shelopugino,RU,51.6514,117.5599,1.56,90,100,9.57,overcast clouds
279,Vianopolis,BR,-16.7419,-48.5164,65.39,86,41,5.91,scattered clouds
280,Leningradskiy,RU,69.3833,178.4167,-16.49,86,0,1.07,clear sky
281,Kailua,US,21.4022,-157.7394,82.4,69,20,14.97,light rain
282,Longonjo,AO,-12.9067,15.2533,58.75,78,52,2.98,broken clouds
283,Camopi,GF,3.1655,-52.3158,72.0,98,100,2.24,overcast clouds
284,Jacqueville,CI,5.2052,-4.4146,78.8,100,0,2.3,clear sky
285,Envira,BR,-7.3,-70.2167,73.65,94,56,1.28,broken clouds
286,Nicoya,CR,10.1483,-85.452,87.8,48,0,19.57,clear sky
